City/County,Median Household Income,Per Capita Income,Gini Index,Unemployment,100% FPL,200% FPL
San Mateo County,93814,47198,0.48,7,8,20
Atherton ,250000,144197,0.55,7,4,7
Belmont ,103370,56302,0.45,7,6,13
Brisbane ,82981,40401,0.41,10,4,19
Burlingame ,90486,61062,0.51,5,6,16
Colma ,97969,30256,0.38,7,10,20
Daly City ,66092,28753,0.4,9,10,24
East Palo Alto ,54342,18527,0.44,12,17,51
Foster City ,114614,55318,0.4,7,4,9
Half Moon Bay ,105972,54270,0.47,8,4,14
Hillsborough ,250000,127868,0.5,6,3,5
Menlo Park,125319,69802,0.5,6,6,14
Millbrae ,81352,43518,0.43,7,6,13
Pacifica ,95104,44886,0.42,7,6,13
Portola Valley ,181607,152128,0.58,7,3,7
Redwood City ,82882,42063,0.46,7,9,27
San Bruno ,78765,35866,0.4,8,7,19
San Carlos ,118068,62548,0.44,8,4,12
San Mateo ,90141,46782,0.45,7,7,20
South San Francisco,70989,32269,0.41,8,7,22
Woodside,203833,125559,0.56,3,4,7
